Symbol,Name,Sector,Industry
ATLO,Ames National Corporation,Finance,Major Banks
AMGN,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,"Amicus Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AMKR,"Amkor Technology, Inc.",Technology,Semiconductors
AMPH,"Amphastar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AMSG,Amsurg Corp.,Health Care,Medical/Nursing Services
AMSGP,Amsurg Corp.,Health Care,Medical/Nursing Services
ASYS,"Amtech Systems, Inc.",Technology,Industrial Machinery/Components
AFSI,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers
AMRS,"Amyris, Inc.",Basic Industries,Major Chemicals
ANAC,"Anacor Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ANAD,"ANADIGICS, Inc.",Technology,Semiconductors
ADI,"Analog Devices, Inc.",Technology,Semiconductors
ALOG,Analogic Corporation,Capital Goods,Electrical Products
ANCB,Anchor Bancorp,Finance,Banks
ABCW,Anchor BanCorp Wisconsin Inc.,Finance,Banks
AMCF,Andatee China Marine Fuel Services Corporation,Energy,Oil Refining/Marketing
ANGI,"Angie&#39;s List, Inc.",Consumer Services,Advertising
ANGO,"AngioDynamics, Inc.",Health Care,Medical/Dental Instruments
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ANIK,Anika Therapeutics Inc.,Health Care,Medical/Dental Instruments
ANSS,"ANSYS, Inc.",Technology,Computer Software: Prepackaged Software
ATRS,"Antares Pharma, Inc.",Health Care,Medical/Dental Instruments
ANTH,"Anthera Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ABAC,"Aoxin Tianli Group, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
ATNY,API Technologies Corp.,Technology,Semiconductors
APOG,"Apogee Enterprises, Inc.",Capital Goods,Auto Parts:O.E.M.
APOL,"Apollo Education Group, Inc.",Consumer Services,Other Consumer Services
AINV,Apollo Investment Corporation,n/a,n/a
AAPL,Apple Inc.,Technology,Computer Manufacturing
ARCI,"Appliance Recycling Centers of America, Inc.",Consumer Services,Home Furnishings
APDN,Applied DNA Sciences Inc,Consumer Services,Other Consumer Services
APDNW,Applied DNA Sciences Inc,Consumer Services,Other Consumer Services
AGTC,Applied Genetic Technologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMAT,"Applied Materials, Inc.",Technology,Semiconductors
AMCC,Applied Micro Circuits Corporation,Technology,Semiconductors
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors
AREX,Approach Resources Inc.,Energy,Oil & Gas Production
APRI,"Apricus Biosciences, Inc",Health Care,Major Pharmaceuticals
APTO,"Aptose Biosciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AQXP,"Aquinox Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AUMA,AR Capital Acquisition Corp.,Finance,Business Services
AUMAU,AR Capital Acquisition Corp.,n/a,n/a
AUMAW,AR Capital Acquisition Corp.,Finance,Business Services
ARDM,Aradigm Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
PETX,"Aratana Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ARCW,"ARC Group Worldwide, Inc.",Capital Goods,Metal Fabrications
ABIO,"ARCA biopharma, Inc.",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ARCB,ArcBest Corporation,Transportation,Trucking Freight/Courier Services
ACGL,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers
ACAT,Arctic Cat Inc.,Capital Goods,Industrial Specialties
ARDX,"Ardelyx, Inc.",Health Care,Major Pharmaceuticals
ARNA,"Arena Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ARCC,Ares Capital Corporation,n/a,n/a
AGII,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers
AGIIL,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers
ARGS,"Argos Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ARIS,"ARI Network Services, Inc.",Technology,"Computer Software: Programming, Data Processing"
ARIA,"ARIAD Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARKR,Ark Restaurants Corp.,Consumer Services,Restaurants
ARMH,ARM Holdings plc,Technology,Semiconductors
ARTX,Arotech Corporation,Miscellaneous,Industrial Machinery/Components
ARQL,"ArQule, Inc.",Health Care,Major Pharmaceuticals
ARRY,Array BioPharma Inc.,Health Care,Major Pharmaceuticals
ARRS,"ARRIS Group, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
DWAT,Arrow DWA Tactical ETF,n/a,n/a
AROW,Arrow Financial Corporation,Finance,Major Banks
ARWR,Arrowhead Research Corporation,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ARTNA,Artesian Resources Corporation,Public Utilities,Water Supply
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",Capital Goods,Industrial Machinery/Components
ARUN,"Aruba Networks, Inc.",Technology,Computer peripheral equipment
PUMP,"Asante Solutions, Inc.",n/a,n/a
ASBB,"ASB Bancorp, Inc.",Finance,Savings Institutions
ASNA,"Ascena Retail Group, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
ASND,Ascendis Pharma A/S,n/a,n/a
ASCMA,"Ascent Capital Group, Inc.",Consumer Services,Other Consumer Services
ASTI,"Ascent Solar Technologies, Inc.",Technology,Semiconductors
APWC,Asia Pacific Wire & Cable Corporation Limited,Basic Industries,Telecommunications Equipment
ASMI,ASM International N.V.,Technology,Industrial Machinery/Components
ASML,ASML Holding N.V.,Technology,Industrial Machinery/Components
AZPN,"Aspen Technology, Inc.",Technology,EDP Services
ASMB,"Assembly Biosciences, Inc.",Health Care,Major Pharmaceuticals
ASFI,"Asta Funding, Inc.",Finance,Finance Companies
ATEA,"Astea International, Inc.",Technology,Computer Software: Prepackaged Software
ASTE,"Astec Industries, Inc.",Capital Goods,Construction/Ag Equipment/Trucks
ALOT,"Astro-Med, Inc.",Technology,Computer peripheral equipment
ATRO,Astronics Corporation,Capital Goods,Military/Government/Technical
ASTC,Astrotech Corporation,Capital Goods,Military/Government/Technical
ASUR,Asure Software Inc,Technology,EDP Services
ATAI,ATA Inc.,Consumer Services,Other Consumer Services
ATRA,"Atara Biotherapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATHN,"athenahealth, Inc.",Miscellaneous,Business Services
AFCB,Athens Bancshares Corporation,Finance,Savings Institutions
ATHX,"Athersys, Inc.",Health Care,Major Pharmaceuticals
AAME,Atlantic American Corporation,Finance,Life Insurance
ACFC,Atlantic Coast Financial Corporation,Finance,Savings Institutions
ATNI,"Atlantic Tele-Network, Inc.",Public Utilities,Telecommunications Equipment
ATLC,Atlanticus Holdings Corporation,Finance,Finance: Consumer Services
AAWW,Atlas Air Worldwide Holdings,Transportation,Transportation Services
AFH,"Atlas Financial Holdings, Inc.",Finance,Property-Casualty Insurers
ATML,Atmel Corporation,Technology,Semiconductors
ATOS,Atossa Genetics Inc.,Health Care,Medical/Dental Instruments
ATRC,"AtriCure, Inc.",Health Care,Medical/Dental Instruments
ATRI,ATRION Corporation,Health Care,Medical/Dental Instruments
ATRM,"ATRM Holdings, Inc.",Capital Goods,Electrical Products
ATTU,Attunity Ltd.,Technology,Computer Software: Prepackaged Software
AUBN,"Auburn National Bancorporation, Inc.",Finance,Major Banks
ADNC,"Audience, Inc.",Technology,Semiconductors
AUDC,AudioCodes Ltd.,Public Utilities,Telecommunications Equipment
AUPH,Aurinia Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
EARS,Auris Medical Holding AG,Health Care,Major Pharmaceuticals
ASPX,"Auspex Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ADAT,Authentidate Holding Corp.,Technology,EDP Services
ABTL,Autobytel Inc.,Technology,"Computer Software: Programming, Data Processing"
ADSK,"Autodesk, Inc.",Technology,Computer Software: Prepackaged Software
AGMX,"AutoGenomics, Inc.",n/a,n/a
ADP,"Automatic Data Processing, Inc.",Technology,EDP Services
AVGO,Avago Technologies Limited,Technology,Semiconductors
AAVL,"Avalanche Biotechnologies, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVNU,"Avenue Financial Holdings, Inc.",n/a,n/a
AVEO,"AVEO Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AVNW,"Aviat Networks, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
AVID,"Avid Technology, Inc.",Miscellaneous,Industrial Machinery/Components
AVGR,"Avinger, Inc.",n/a,n/a
CAR,"Avis Budget Group, Inc.",Consumer Services,Rental/Leasing Companies
AWRE,"Aware, Inc.",Technology,Computer Software: Prepackaged Software
ACLS,"Axcelis Technologies, Inc.",Technology,Industrial Machinery/Components
AXPW,"Axion Power International, Inc.",Miscellaneous,Industrial Machinery/Components
AXPWW,"Axion Power International, Inc.",Miscellaneous,Industrial Machinery/Components
AXGN,"AxoGen, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AXTI,AXT Inc,Technology,Semiconductors
BCOM,B Communications Ltd.,Consumer Services,Telecommunications Equipment
BOSC,B.O.S. Better Online Solutions,Technology,Computer Communications Equipment
BEAV,"B/E Aerospace, Inc.",Consumer Durables,Industrial Specialties
BIDU,"Baidu, Inc.",Technology,"Computer Software: Programming, Data Processing"
BCPC,Balchem Corporation,Basic Industries,Major Chemicals
BWINA,"Baldwin & Lyons, Inc.",Finance,Property-Casualty Insurers
BWINB,"Baldwin & Lyons, Inc.",Finance,Property-Casualty Insurers
BLDP,"Ballard Power Systems, Inc.",Energy,Industrial Machinery/Components
BANF,BancFirst Corporation,Finance,Major Banks
BANFP,BancFirst Corporation,Finance,Major Banks
BKMU,Bank Mutual Corporation,Finance,Savings Institutions
BOCH,Bank of Commerce Holdings (CA),Finance,Major Banks
BMRC,Bank of Marin Bancorp,Finance,Major Banks
BKSC,Bank of South Carolina Corp.,Finance,Major Banks
BOTJ,"Bank of the James Financial Group, Inc.",Finance,Major Banks
OZRK,Bank of the Ozarks,Finance,Major Banks
BFIN,BankFinancial Corporation,Finance,Savings Institutions
BWFG,"Bankwell Financial Group, Inc.",Finance,Major Banks
BANR,Banner Corporation,Finance,Major Banks
TAPR,Barclays Inverse US Treasury Composite ETN,Finance,Commercial Banks
BHACU,Barington/Hilco Acquisition Corp.,n/a,n/a
BBSI,"Barrett Business Services, Inc.",Technology,Professional Services
BSET,"Bassett Furniture Industries, Incorporated",Consumer Durables,Home Furnishings
BYBK,"Bay Bancorp, Inc.",Finance,Major Banks
BYLK,Baylake Corp,Finance,Major Banks
BV,"Bazaarvoice, Inc.",Technology,Computer Software: Prepackaged Software
BBCN,"BBCN Bancorp, Inc.",Finance,Major Banks
BCBP,"BCB Bancorp, Inc. (NJ)",Finance,Savings Institutions
BDCV,"BDCA Venture, Inc.",n/a,n/a
BECN,"Beacon Roofing Supply, Inc.",Consumer Services,RETAIL: Building Materials
BSF,"Bear State Financial, Inc.",Finance,Savings Institutions
BBGI,"Beasley Broadcast Group, Inc.",Consumer Services,Broadcasting
BEBE,"bebe stores, inc.",Consumer Non-Durables,Apparel
BBBY,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings
BELFA,Bel Fuse Inc.,Capital Goods,Electrical Products
BELFB,Bel Fuse Inc.,Capital Goods,Electrical Products
BLPH,"Bellerophon Therapeutics, Inc.",n/a,n/a
BLCM,"Bellicum Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
BNCL,"Beneficial Bancorp, Inc.",Finance,Savings Institutions
BNFT,"Benefitfocus, Inc.",Technology,Computer Software: Prepackaged Software
BGMD,"BG Medicine, Inc.",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
BGCP,"BGC Partners, Inc.",Finance,Investment Bankers/Brokers/Service
BGFV,Big 5 Sporting Goods Corporation,Consumer Services,Other Specialty Stores
BIND,"BIND Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ORPN,Bio Blast Pharma Ltd.,Health Care,Major Pharmaceuticals
BASI,"Bioanalytical Systems, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch
BIOC,"Biocept, Inc.",Health Care,Medical Specialities
BCRX,"BioCryst Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BIOD,Biodel Inc.,Health Care,Major Pharmaceuticals
BDSI,"BioDelivery Sciences International, Inc.",Health Care,Major Pharmaceuticals
BIIB,Biogen Idec Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BIOL,"Biolase, Inc.",Health Care,Medical/Dental Instruments
BLFS,"BioLife Solutions, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BLRX,BioLineRx Ltd.,Health Care,Major Pharmaceuticals
BMRN,BioMarin Pharmaceutical Inc.,Health Care,Major Pharmaceuticals
BPTH,"Bio-Path Holdings, Inc.",Consumer Services,Other Specialty Stores
BRLI,"Bio-Reference Laboratories, Inc.",Health Care,Medical Specialities
BIOS,"BioScrip, Inc.",Health Care,Medical/Nursing Services
BBC,BioShares Biotechnology Clinical Trials Fund,n/a,n/a
BBP,BioShares Biotechnology Products Fund,n/a,n/a
BSTC,BioSpecifics Technologies Corp,Health Care,Major Pharmaceuticals
BSPM,"Biostar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
BOTA,"Biota Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TECH,Bio-Techne Corp,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BEAT,"BioTelemetry, Inc.",Health Care,Medical/Dental Instruments
BDMS,"Birner Dental Management Services, Inc.",Health Care,Medical/Nursing Services
BJRI,"BJ&#39;s Restaurants, Inc.",Consumer Services,Restaurants
BBOX,Black Box Corporation,Technology,Computer Communications Equipment
BDE,"Black Diamond, Inc.",Consumer Non-Durables,Recreational Products/Toys
BLKB,"Blackbaud, Inc.",Technology,Computer Software: Prepackaged Software
BBRY,BlackBerry Limited,Public Utilities,Telecommunications Equipment
HAWK,"Blackhawk Network Holdings, Inc.",Finance,Finance: Consumer Services
HAWKB,"Blackhawk Network Holdings, Inc.",Finance,Finance: Consumer Services
BKCC,BlackRock Kelso Capital Corporation,n/a,n/a
ADRA,BLDRS Asia 50 ADR Index Fund,n/a,n/a
ADRD,BLDRS Developed Markets 100 ADR Index Fund,n/a,n/a
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,n/a,n/a
ADRU,BLDRS Europe 100 ADR Index Fund,n/a,n/a
BLMN,"Bloomin&#39; Brands, Inc.",Consumer Services,Restaurants
BCOR,"Blucora, Inc.",Technology,EDP Services
BBLU,"Blue Earth, Inc.",Public Utilities,Electric Utilities: Central
BHBK,"Blue Hills Bancorp, Inc.",Finance,Major Banks
NILE,"Blue Nile, Inc.",Consumer Services,Consumer Specialties
BLUE,"bluebird bio, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BKEP,"Blueknight Energy Partners L.P., L.L.C.",Energy,Natural Gas Distribution
BKEPP,"Blueknight Energy Partners L.P., L.L.C.",Energy,Natural Gas Distribution
BNCN,BNC Bancorp,Finance,Major Banks
BOBE,"Bob Evans Farms, Inc.",Consumer Services,Restaurants
BOFI,"BofI Holding, Inc.",Finance,Savings Institutions
WIFI,"Boingo Wireless, Inc.",Consumer Services,Telecommunications Equipment
BOKF,BOK Financial Corporation,Finance,Major Banks
BONA,Bona Film Group Limited,Consumer Services,Movies/Entertainment
BNSO,"Bonso Electronics International, Inc.",Capital Goods,Industrial Machinery/Components
BAMM,"Books-A-Million, Inc.",Consumer Services,Other Specialty Stores
BRDR,"Borderfree, Inc.",Miscellaneous,Business Services
BPFH,"Boston Private Financial Holdings, Inc.",Finance,Major Banks
BPFHP,"Boston Private Financial Holdings, Inc.",Finance,Major Banks
BPFHW,"Boston Private Financial Holdings, Inc.",Finance,Major Banks
EPAY,"Bottomline Technologies, Inc.",Technology,Computer Software: Prepackaged Software
BDBD,"Boulder Brands, Inc.",Consumer Non-Durables,Packaged Foods
BLVD,Boulevard Acquisition Corp.,Finance,Business Services
BLVDU,Boulevard Acquisition Corp.,Finance,Business Services
BLVDW,Boulevard Acquisition Corp.,Finance,Business Services
BCLI,Brainstorm Cell Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BBRG,"Bravo Brio Restaurant Group, Inc.",Consumer Services,Restaurants
BBEP,"BreitBurn Energy Partners, L.P.",Energy,Oil & Gas Production
BBEPP,"BreitBurn Energy Partners, L.P.",Energy,Oil & Gas Production
BDGE,"Bridge Bancorp, Inc.",Finance,Major Banks
BBNK,Bridge Capital Holdings,Finance,Major Banks
BLIN          ,"Bridgeline Digital, Inc.",Technology,Computer Software: Prepackaged Software
BRID,Bridgford Foods Corporation,Consumer Non-Durables,Specialty Foods
BCOV,Brightcove Inc.,Technology,EDP Services
BRCM,Broadcom Corporation,Technology,Semiconductors
BSFT,"BroadSoft, Inc.",Technology,Computer Software: Prepackaged Software
