Symbol,Name,Sector,Industry,
AEGR,"Aegerion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,
AEGN,Aegion Corp,Basic Industries,Water Supply,
AEHR,Aehr Test Systems,Capital Goods,Electrical Products,
AMTX,"Aemetis, Inc",Basic Industries,Major Chemicals,
AEPI,AEP Industries Inc.,Capital Goods,Specialty Chemicals,
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
AVAV,"AeroVironment, Inc.",Capital Goods,Aerospace,
AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals,
AFMD,Affimed N.V.,Health Care,Major Pharmaceuticals,
AFFX,"Affymetrix, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,
AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
AGRX,"Agile Therapeutics, Inc.",Health Care,Major Pharmaceuticals,
AGYS,"Agilysys, Inc.",Technology,EDP Services,
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,
AIRM,Air Methods Corporation,Transportation,Transportation Services,
AIRT,"Air T, Inc.",Transportation,Air Freight/Delivery Services,
ATSG,"Air Transport Services Group, Inc",Transportation,Air Freight/Delivery Services,
AMCN,AirMedia Group Inc,Technology,Advertising,
AIXG,Aixtron SE,Technology,Industrial Machinery/Components,
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services,
AKBA,"Akebia Therapeutics, Inc.",Health Care,Major Pharmaceuticals,
AKER,Akers Biosciences Inc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,
AKRX,"Akorn, Inc.",Health Care,Major Pharmaceuticals,
ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,Telecommunications Equipment,
AMRI,"Albany Molecular Research, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch,
ABDC,Alcentra Capital Corp.,n/a,n/a,
ADHD,Alcobra Ltd.,Health Care,Major Pharmaceuticals,
ALDR,"Alder BioPharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,Major Pharmaceuticals,
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,
ALXA,"Alexza Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,
ALCO,"Alico, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,
ALGN,"Align Technology, Inc.",Health Care,Industrial Specialties,
ALIM,"Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals,
ALKS,Alkermes plc,Health Care,Major Pharmaceuticals,
ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services,
ALLB,"Alliance Bancorp, Inc. of Pennsylvania",Finance,Savings Institutions,
AFOP,"Alliance Fiber Optic Products, Inc.",Technology,Semiconductors,
AIQ,"Alliance HealthCare Services, Inc.",Health Care,Medical Specialities,
AHGP,"Alliance Holdings GP, L.P.",Energy,Coal Mining,
ARLP,"Alliance Resource Partners, L.P.",Energy,Coal Mining,
AHPI,"Allied Healthcare Products, Inc.",Health Care,Industrial Specialties,
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,Electrical Products,
ALQA,"Alliqua BioMedical, Inc.",Health Care,Medical/Dental Instruments,
ALLT,Allot Communications Ltd.,Technology,Computer Communications Equipment,
MDRX,"Allscripts Healthcare Solutions, Inc.",Technology,EDP Services,
AFAM,Almost Family Inc,Health Care,Medical/Nursing Services,
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors,
ATEC,"Alphatec Holdings, Inc.",Health Care,Medical/Dental Instruments,
ALTR,Altera Corporation,Technology,Semiconductors,
IDGX,"AltheaDx, Inc.",n/a,n/a,
ASPS,Altisource Portfolio Solutions S.A.,Consumer Services,Other Consumer Services,
AIMC,Altra Industrial Motion Corp.,Capital Goods,Industrial Machinery/Components,
AMAG,"AMAG Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,
AMRN,Amarin Corporation PLC,Health Care,Major Pharmaceuticals,
AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,Other Specialty Stores,
AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution,
AMBC,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers,
AMBCW,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers,
AMBA,"Ambarella, Inc.",Technology,Semiconductors,
EPAX,"Ambassadors Group, Inc.",Consumer Services,Other Consumer Services,
AMCX,AMC Networks Inc.,Consumer Services,Television Services,
DOX,Amdocs Limited,Technology,EDP Services,
AMDA,Amedica Corporation,Health Care,Medical/Dental Instruments,
AMED,Amedisys Inc,Health Care,Medical/Nursing Services,
UHAL,Amerco,Consumer Services,Rental/Leasing Companies,
ASBI,Ameriana Bancorp,Finance,Savings Institutions,
ATAX,"America First Multifamily Investors, L.P.",Finance,Finance: Consumer Services,
AMOV,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment,
AAL,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services,
AGNC,American Capital Agency Corp.,Consumer Services,Real Estate Investment Trusts,
AGNCB,American Capital Agency Corp.,Consumer Services,Real Estate Investment Trusts,
AGNCP,American Capital Agency Corp.,Consumer Services,Real Estate Investment Trusts,
MTGE,American Capital Mortgage Investment Corp.,Consumer Services,Real Estate Investment Trusts,
MTGEP,American Capital Mortgage Investment Corp.,Consumer Services,Real Estate Investment Trusts,
ACSF,"American Capital Senior Floating, Ltd.",n/a,n/a,
ACAS,"American Capital, Ltd.",n/a,n/a,
ANCI,American Caresource Holdings Inc,Health Care,Hospital/Nursing Management,
AETI,"American Electric Technologies, Inc.",Energy,Industrial Machinery/Components,
AMIC,American Independence Corp.,Finance,Accident &Health Insurance,
AMNB,"American National Bankshares, Inc.",Finance,Major Banks,
ANAT,American National Insurance Company,Finance,Life Insurance,
APEI,"American Public Education, Inc.",Consumer Services,Other Consumer Services,
ARII,"American Railcar Industries, Inc.",Capital Goods,Railroads,
ARCP,"American Realty Capital Properties, Inc.",Consumer Services,Real Estate Investment Trusts,
ARCPP,"American Realty Capital Properties, Inc.",Consumer Services,Real Estate Investment Trusts,
AMRB,American River Bankshares,Finance,Major Banks,
ASEI,"American Science and Engineering, Inc.",Health Care,Medical Electronics,
